Terrarium,insect,ter_no,Name_x,customer identifier,cust_no,Name_y,tpe,Contact number,First Purchase period,key,description,food portions per day
unprocessed,k,1132,unprocessed,256,256,Milagro Maria,f,085-981-6759,202009,k,Katydid,3.0
kingtehchen,u,2432,kingtehchen,153,153,Bebe Mathieu,p,074-585-5515,202100,u,Underwing,6.0
lapactic,k,2394,lapactic,116,116,Clemmie Dunphy,c,079-683-5944,202101,k,Katydid,3.0
glass,w,1672,glass,94,94,Jeannette Callan,c,072-449-4992,201912,w,Wasp,15.0
spuming,g,3070,spuming,34,34,Marica Creed,a,073-422-6326,202109,g,Grasshopper,50.0
backsword,e,3230,backsword,208,208,Jerrica Shears,j,078-322-2008,202105,e,Elephant hawk moth,2.0
terahertzes,p,2033,terahertzes,132,132,Lesia Moroz,w,071-461-6577,202102,p,Praying mantis,8.0
pomona,y,1809,pomona,221,221,Thi Mennenga,y,083-798-1764,202012,y,Yellow jacket,16.0
unprovoking,k,2607,unprovoking,182,182,Lurlene Lovingood,a,081-295-4417,202107,k,Katydid,3.0
contraposition,m,1106,contraposition,7,7,Neva Leffler,y,086-594-5216,202106,m,Maggot,5.5
unaromatic,r,2504,unaromatic,26,26,Versie Mucha,m,082-903-1924,201912,r,Rhinoceros beetle,35.0
fruitlessness,s,1277,fruitlessness,277,277,Natisha Blythe,y,083-470-1500,197001,s,Stick insect,9.0
tursha,e,3078,tursha,241,241,Pauletta Lazo,n,082-454-6754,202103,e,Elephant hawk moth,2.0
safely,w,3211,safely,57,57,Violet Hundt,j,081-301-1928,201911,w,Wasp,15.0
homer,m,1687,homer,148,148,Winifred Crumpler,r,080-112-6591,202012,m,Maggot,5.5
outmerchant,b,2174,outmerchant,34,34,Marica Creed,a,073-422-6326,202109,b,bee,1.0
europe,i,2964,europe,259,259,Hana Clabaugh,d,074-262-7203,239012,i,insect,3.0
recatalogued,j,1072,recatalogued,138,138,Sharika Vendetti,u,085-728-3577,202003,j,Junebug,5.0
unparagraphed,m,988,unparagraphed,212,212,Rubye Marchal,c,078-532-7977,202008,m,Maggot,5.5
thoroughpin,j,1243,thoroughpin,187,187,Adolfo Webb,i,085-443-4832,202101,j,Junebug,5.0
foxborough,l,2421,foxborough,31,31,Alverta Magar,z,075-936-4800,202001,l,Locust,99.0
uncaparisoned,j,2782,uncaparisoned,164,164,Rozanne Labrador,g,086-701-1551,202003,j,Junebug,5.0
flush,w,1710,flush,60,60,Eunice Spady,g,076-225-1482,202100,w,Wasp,15.0
bidden,u,3036,bidden,173,173,Coy Lawler,t,083-207-5989,202002,u,Underwing,6.0
unstylized,a,2717,unstylized,259,259,Hana Clabaugh,d,074-262-7203,239012,a,ant,1.0
frizzlier,p,1839,frizzlier,251,251,Cindi Jeremiah,o,075-985-7988,201903,p,Praying mantis,8.0
taxis,y,3143,taxis,221,221,Thi Mennenga,y,083-798-1764,202012,y,Yellow jacket,16.0
cougar,o,2880,cougar,233,233,Mafalda Kamerer,n,083-899-2493,202011,o,Orange Sulfur Butterfly,13.0
knead,l,1425,knead,171,171,Shawanna Shoemake,q,081-441-5381,201903,l,Locust,99.0
mariigold,l,3162,mariigold,50,50,Alphonse Krajewski,f,082-837-1499,202006,l,Locust,99.0
vespid,z,3169,vespid,34,34,Marica Creed,a,073-422-6326,202109,z,Zorapteran,5.0
chile,u,1509,chile,57,57,Violet Hundt,j,081-301-1928,201911,u,Underwing,6.0
upgrade,l,3154,upgrade,212,212,Rubye Marchal,c,078-532-7977,202008,l,Locust,99.0
nonincident,v,1227,nonincident,311,311,Jeanie Wentzell,d,079-537-7965,201906,v,Velvet ant,2.0
arglebargling,x,2101,arglebargling,55,55,Noreen Wildey,b,074-967-2367,202011,x,Xigua,4.5
gripy,p,1395,gripy,238,238,Ramiro Milligan,h,083-695-5976,202004,p,Praying mantis,8.0
tovarisch,x,1843,tovarisch,103,103,Zelda Bridgett,r,085-887-8677,201906,x,Xigua,4.5
rodi,y,3029,rodi,200,200,Lyle Nix,i,076-117-1648,201906,y,Yellow jacket,16.0
denizenship,j,1915,denizenship,249,249,Raquel Lafrance,r,086-694-9753,202008,j,Junebug,5.0
ingeminated,o,1957,ingeminated,300,300,Grayce Thatcher,x,080-105-3161,202103,o,Orange Sulfur Butterfly,13.0
nonpardoning,b,1102,nonpardoning,204,204,Gregg Blanchette,c,074-884-1593,202100,b,bee,1.0
fiendishness,j,1911,fiendishness,103,103,Zelda Bridgett,r,085-887-8677,201906,j,Junebug,5.0
trawl,b,1440,trawl,166,166,Rosendo Parten,t,082-117-2337,202009,b,bee,1.0
